filename,class,original_width,original_height,resized_width,resized_height,pad_top,pad_bottom,pad_left,pad_right
good_1.jpg,good,2084,2084,224,224,0,0,0,0
good_10.jpg,good,1800,4000,224,224,0,0,61,62
good_100.jpg,good,1800,4000,224,224,0,0,61,62
good_1000.jpg,good,2250,2250,224,224,0,0,0,0
good_1001.jpg,good,2250,2250,224,224,0,0,0,0
good_1002.jpg,good,1800,1800,224,224,0,0,0,0
good_1003.jpg,good,2250,2250,224,224,0,0,0,0
good_1004.jpg,good,1800,1800,224,224,0,0,0,0
good_1005.jpg,good,2250,2250,224,224,0,0,0,0
good_1006.jpg,good,2250,2250,224,224,0,0,0,0
good_1007.jpg,good,2250,2250,224,224,0,0,0,0
good_1008.jpg,good,2250,2250,224,224,0,0,0,0
good_1009.jpg,good,2250,2250,224,224,0,0,0,0
good_101.jpg,good,2667,2667,224,224,0,0,0,0
good_1010.jpg,good,1800,1800,224,224,0,0,0,0
good_1011.jpg,good,2250,2250,224,224,0,0,0,0
good_1012.jpg,good,2250,2250,224,224,0,0,0,0
good_1013.jpg,good,2250,2250,224,224,0,0,0,0
good_1014.jpg,good,2250,2250,224,224,0,0,0,0
good_1015.jpg,good,2250,2250,224,224,0,0,0,0
good_1016.jpg,good,2250,2250,224,224,0,0,0,0
good_1017.jpg,good,1800,1800,224,224,0,0,0,0
good_1018.jpg,good,2250,2250,224,224,0,0,0,0
good_1019.jpg,good,2250,2250,224,224,0,0,0,0
good_102.jpg,good,1800,4000,224,224,0,0,61,62
good_1020.jpg,good,2250,2250,224,224,0,0,0,0
good_1021.jpg,good,2250,2250,224,224,0,0,0,0
good_1022.jpg,good,2250,2250,224,224,0,0,0,0
good_1023.jpg,good,1730,1730,224,224,0,0,0,0
good_1024.jpg,good,1800,1800,224,224,0,0,0,0
good_1025.jpg,good,1540,1540,224,224,0,0,0,0
good_1026.jpg,good,1530,1530,224,224,0,0,0,0
good_1027.jpg,good,1800,1800,224,224,0,0,0,0
good_1028.jpg,good,2250,2250,224,224,0,0,0,0
good_1029.jpg,good,2250,2250,224,224,0,0,0,0
good_103.jpg,good,1800,4000,224,224,0,0,61,62
good_1030.jpg,good,1800,1800,224,224,0,0,0,0
good_1031.jpg,good,1970,1970,224,224,0,0,0,0
good_1032.jpg,good,1800,1800,224,224,0,0,0,0
good_1033.jpg,good,2250,2250,224,224,0,0,0,0
good_1034.jpg,good,2060,2060,224,224,0,0,0,0
good_1035.jpg,good,1800,1800,224,224,0,0,0,0
good_1036.jpg,good,2250,2250,224,224,0,0,0,0
good_1037.jpg,good,2250,2250,224,224,0,0,0,0
good_1038.jpg,good,2250,2250,224,224,0,0,0,0
good_1039.jpg,good,2250,2250,224,224,0,0,0,0
good_104.jpg,good,1800,4000,224,224,0,0,61,62
good_1040.jpg,good,1880,1880,224,224,0,0,0,0
good_1041.jpg,good,2250,2250,224,224,0,0,0,0
good_1042.jpg,good,2250,2250,224,224,0,0,0,0
good_1043.jpg,good,1640,1640,224,224,0,0,0,0
good_1044.jpg,good,2250,2250,224,224,0,0,0,0
good_1045.jpg,good,2070,2070,224,224,0,0,0,0
good_1046.jpg,good,2090,2090,224,224,0,0,0,0
good_1047.jpg,good,2250,2250,224,224,0,0,0,0
good_1048.jpg,good,2250,2250,224,224,0,0,0,0
good_1049.jpg,good,2250,2250,224,224,0,0,0,0
good_105.jpg,good,1800,4000,224,224,0,0,61,62
good_1050.jpg,good,2250,2250,224,224,0,0,0,0
good_1051.jpg,good,1800,1800,224,224,0,0,0,0
good_1052.jpg,good,1810,1810,224,224,0,0,0,0
good_1053.jpg,good,2250,2250,224,224,0,0,0,0
good_1054.jpg,good,2250,2250,224,224,0,0,0,0
good_1055.jpg,good,2250,2250,224,224,0,0,0,0
good_1056.jpg,good,2250,2250,224,224,0,0,0,0
good_1057.jpg,good,2250,2250,224,224,0,0,0,0
good_1058.jpg,good,2250,2250,224,224,0,0,0,0
good_1059.jpg,good,1970,1970,224,224,0,0,0,0
good_106.jpg,good,1800,4000,224,224,0,0,61,62
good_1060.jpg,good,2250,2250,224,224,0,0,0,0
good_1061.jpg,good,2250,2250,224,224,0,0,0,0
good_1062.jpg,good,2250,2250,224,224,0,0,0,0
good_1063.jpg,good,2250,2250,224,224,0,0,0,0
good_1064.jpg,good,2250,2250,224,224,0,0,0,0
good_1065.jpg,good,2250,2250,224,224,0,0,0,0
good_1066.jpg,good,2250,2250,224,224,0,0,0,0
good_1067.jpg,good,2250,2250,224,224,0,0,0,0
good_1068.jpg,good,2250,2250,224,224,0,0,0,0
good_1069.jpg,good,2250,2250,224,224,0,0,0,0
good_107.jpg,good,4000,1800,224,224,61,62,0,0
good_1070.jpg,good,2250,2250,224,224,0,0,0,0
good_1071.jpg,good,2250,2250,224,224,0,0,0,0
good_1072.jpg,good,2250,2250,224,224,0,0,0,0
good_1073.jpg,good,2250,2250,224,224,0,0,0,0
good_1074.jpg,good,1800,1800,224,224,0,0,0,0
good_1075.jpg,good,2250,2250,224,224,0,0,0,0
good_1076.jpg,good,2250,2250,224,224,0,0,0,0
good_1077.jpg,good,2250,2250,224,224,0,0,0,0
