class,original_filename,new_filename,extension
good,kaggle_good_good (1).jpg,good_1.jpg,jpg
good,kaggle_good_good (10).jpg,good_2.jpg,jpg
good,kaggle_good_good (100).jpg,good_3.jpg,jpg
good,kaggle_good_good (101).jpg,good_4.jpg,jpg
good,kaggle_good_good (102).jpg,good_5.jpg,jpg
good,kaggle_good_good (103).jpg,good_6.jpg,jpg
good,kaggle_good_good (104).jpg,good_7.jpg,jpg
good,kaggle_good_good (105).jpg,good_8.jpg,jpg
good,kaggle_good_good (106).jpg,good_9.jpg,jpg
good,kaggle_good_good (107).jpg,good_10.jpg,jpg
good,kaggle_good_good (108).jpg,good_11.jpg,jpg
good,kaggle_good_good (109).jpg,good_12.jpg,jpg
good,kaggle_good_good (11).jpg,good_13.jpg,jpg
good,kaggle_good_good (110).jpg,good_14.jpg,jpg
good,kaggle_good_good (111).jpg,good_15.jpg,jpg
good,kaggle_good_good (112).jpg,good_16.jpg,jpg
good,kaggle_good_good (113).jpg,good_17.jpg,jpg
good,kaggle_good_good (114).jpg,good_18.jpg,jpg
good,kaggle_good_good (115).jpg,good_19.jpg,jpg
good,kaggle_good_good (116).jpg,good_20.jpg,jpg
good,kaggle_good_good (117).jpg,good_21.jpg,jpg
good,kaggle_good_good (118).jpg,good_22.jpg,jpg
good,kaggle_good_good (119).jpg,good_23.jpg,jpg
good,kaggle_good_good (12).jpg,good_24.jpg,jpg
good,kaggle_good_good (120).jpg,good_25.jpg,jpg
good,kaggle_good_good (121).jpg,good_26.jpg,jpg
good,kaggle_good_good (122).jpg,good_27.jpg,jpg
good,kaggle_good_good (123).jpg,good_28.jpg,jpg
good,kaggle_good_good (124).jpg,good_29.jpg,jpg
good,kaggle_good_good (125).jpg,good_30.jpg,jpg
good,kaggle_good_good (126).jpg,good_31.jpg,jpg
good,kaggle_good_good (127).jpg,good_32.jpg,jpg
good,kaggle_good_good (128).jpg,good_33.jpg,jpg
good,kaggle_good_good (129).jpg,good_34.jpg,jpg
good,kaggle_good_good (13).jpg,good_35.jpg,jpg
good,kaggle_good_good (130).jpg,good_36.jpg,jpg
good,kaggle_good_good (131).jpg,good_37.jpg,jpg
good,kaggle_good_good (132).jpg,good_38.jpg,jpg
