original_path,new_filename,extension,original_width,original_height,resized_width,resized_height,pad_top,pad_bottom,pad_left,pad_right
negative_1.jpg,negative_1.jpg,.jpg,80,107,224,224,0,0,28,29
negative_10.jpg,negative_2.jpg,.jpg,80,50,224,224,42,42,0,0
negative_100.jpg,negative_3.jpg,.jpg,80,121,224,224,0,0,38,38
negative_101.jpg,negative_4.jpg,.jpg,80,53,224,224,38,38,0,0
negative_102.jpg,negative_5.jpg,.jpg,80,53,224,224,38,38,0,0
negative_103.jpg,negative_6.jpg,.jpg,80,53,224,224,38,38,0,0
negative_104.jpg,negative_7.jpg,.jpg,80,53,224,224,38,38,0,0
negative_105.jpg,negative_8.jpg,.jpg,80,53,224,224,38,38,0,0
negative_106.jpg,negative_9.jpg,.jpg,80,80,224,224,0,0,0,0
negative_107.jpg,negative_10.jpg,.jpg,80,53,224,224,38,38,0,0
negative_108.jpg,negative_11.jpg,.jpg,80,63,224,224,24,24,0,0
negative_109.jpg,negative_12.jpg,.jpg,80,60,224,224,28,28,0,0
negative_11.jpg,negative_13.jpg,.jpg,80,45,224,224,49,49,0,0
negative_110.jpg,negative_14.jpg,.jpg,80,53,224,224,38,38,0,0
negative_111.jpg,negative_15.jpg,.jpg,80,60,224,224,28,28,0,0
negative_112.jpg,negative_16.jpg,.jpg,80,107,224,224,0,0,28,29
negative_113.jpg,negative_17.jpg,.jpg,80,121,224,224,0,0,38,38
negative_114.jpg,negative_18.jpg,.jpg,80,53,224,224,38,38,0,0
negative_115.jpg,negative_19.jpg,.jpg,80,53,224,224,38,38,0,0
negative_116.jpg,negative_20.jpg,.jpg,80,107,224,224,0,0,28,29
negative_117.jpg,negative_21.jpg,.jpg,80,53,224,224,38,38,0,0
negative_118.jpg,negative_22.jpg,.jpg,80,80,224,224,0,0,0,0
negative_119.jpg,negative_23.jpg,.jpg,80,53,224,224,38,38,0,0
negative_12.jpg,negative_24.jpg,.jpg,80,53,224,224,38,38,0,0
negative_120.jpg,negative_25.jpg,.jpg,80,53,224,224,38,38,0,0
negative_121.jpg,negative_26.jpg,.jpg,80,39,224,224,57,58,0,0
negative_122.jpg,negative_27.jpg,.jpg,80,54,224,224,36,37,0,0
negative_123.jpg,negative_28.jpg,.jpg,80,53,224,224,38,38,0,0
negative_124.jpg,negative_29.jpg,.jpg,80,53,224,224,38,38,0,0
negative_125.jpg,negative_30.jpg,.jpg,80,53,224,224,38,38,0,0
negative_126.jpg,negative_31.jpg,.jpg,80,45,224,224,49,49,0,0
negative_127.jpg,negative_32.jpg,.jpg,80,53,224,224,38,38,0,0
negative_128.jpg,negative_33.jpg,.jpg,80,52,224,224,39,39,0,0
negative_129.jpg,negative_34.jpg,.jpg,80,54,224,224,36,37,0,0
negative_13.jpg,negative_35.jpg,.jpg,80,80,224,224,0,0,0,0
negative_130.jpg,negative_36.jpg,.jpg,80,60,224,224,28,28,0,0
negative_131.jpg,negative_37.jpg,.jpg,80,53,224,224,38,38,0,0
negative_132.jpg,negative_38.jpg,.jpg,80,53,224,224,38,38,0,0
negative_133.jpg,negative_39.jpg,.jpg,80,60,224,224,28,28,0,0
negative_134.jpg,negative_40.jpg,.jpg,80,111,224,224,0,0,31,32
negative_135.jpg,negative_41.jpg,.jpg,80,60,224,224,28,28,0,0
negative_136.jpg,negative_42.jpg,.jpg,80,53,224,224,38,38,0,0
negative_137.jpg,negative_43.jpg,.jpg,80,60,224,224,28,28,0,0
negative_138.jpg,negative_44.jpg,.jpg,80,120,224,224,0,0,37,38
negative_139.jpg,negative_45.jpg,.jpg,80,53,224,224,38,38,0,0
negative_14.jpg,negative_46.jpg,.jpg,80,107,224,224,0,0,28,29
negative_140.jpg,negative_47.jpg,.jpg,80,71,224,224,12,13,0,0
negative_141.jpg,negative_48.jpg,.jpg,80,60,224,224,28,28,0,0
negative_142.jpg,negative_49.jpg,.jpg,80,120,224,224,0,0,37,38
negative_143.jpg,negative_50.jpg,.jpg,80,53,224,224,38,38,0,0
negative_144.jpg,negative_51.jpg,.jpg,80,53,224,224,38,38,0,0
negative_145.jpg,negative_52.jpg,.jpg,80,80,224,224,0,0,0,0
negative_146.jpg,negative_53.jpg,.jpg,80,60,224,224,28,28,0,0
negative_147.jpg,negative_54.jpg,.jpg,80,53,224,224,38,38,0,0
negative_148.jpg,negative_55.jpg,.jpg,80,53,224,224,38,38,0,0
negative_149.jpg,negative_56.jpg,.jpg,80,120,224,224,0,0,37,38
negative_15.jpg,negative_57.jpg,.jpg,80,60,224,224,28,28,0,0
negative_150.jpg,negative_58.jpg,.jpg,80,49,224,224,43,44,0,0
negative_151.jpg,negative_59.jpg,.jpg,80,60,224,224,28,28,0,0
negative_152.jpg,negative_60.jpg,.jpg,80,60,224,224,28,28,0,0
negative_153.jpg,negative_61.jpg,.jpg,80,121,224,224,0,0,38,38
negative_154.jpg,negative_62.jpg,.jpg,80,102,224,224,0,0,24,24
negative_155.jpg,negative_63.jpg,.jpg,80,60,224,224,28,28,0,0
negative_156.jpg,negative_64.jpg,.jpg,80,61,224,224,26,27,0,0
negative_16.jpg,negative_65.jpg,.jpg,80,78,224,224,3,3,0,0
negative_17.jpg,negative_66.jpg,.jpg,80,107,224,224,0,0,28,29
negative_18.jpg,negative_67.jpg,.jpg,80,107,224,224,0,0,28,29
negative_19.jpg,negative_68.jpg,.jpg,80,107,224,224,0,0,28,29
negative_2.jpg,negative_69.jpg,.jpg,80,60,224,224,28,28,0,0
negative_20.jpg,negative_70.jpg,.jpg,80,120,224,224,0,0,37,38
negative_21.jpg,negative_71.jpg,.jpg,80,56,224,224,33,34,0,0
